question,answer
"Let's make sure you know how to select elements using CSS selectors. Find all <div>s having a foo class in the hidden element below. What's the sum of their data-value attributes?

Sum of data-value attributes:",432
"Each file has 2 columns: symbol and value. Sum up all the values where the symbol matches œ OR ‘ across all three files.

What is the sum of all values associated with these symbols?",22617
"Let's make sure you know how to use GitHub. Create a GitHub account if you don't have one. Create a new public repository. Commit a single JSON file called email.json with the value {""email"": ""24ds3000028@ds.study.iitm.ac.in""} and push it.

Enter the raw Github URL of email.json so we can verify it. (It might look like https://raw.githubusercontent.com/[GITHUB ID]/[REPO NAME]/main/email.json.)",https://raw.githubusercontent.com/Amala-Natarajan/email-repo/refs/heads/main/email.json
What does running cat * | sha256sum in that folder show in bash?,3c55b73a53a256f73bfa077837a9f1ae7593b108fd96c663d0dfdb5ca49d3f70
"What's the total size of all files at least 5885 bytes large and modified on or after Thu, 4 Oct, 2001, 7:31 am IST?",243910
What does running grep . * | LC_ALL=C sort | sha256sum in bash on that folder show?,df326969352fa9929ce0fcc78120bcc05d8cc606d55ec1e8f3470b3a9ee5dd76 
How many lines are different between a.txt and b.txt?,5
"What is the total sales of all the items in the ""Gold"" ticket type? Write SQL to calculate it.","SELECT SUM(units * price) AS total_sales
FROM tickets
WHERE TRIM(UPPER(type)) = 'GOLD';"
"Write documentation in Markdown for an **imaginary** analysis of the number of steps you walked each day for a week, comparing over time and with friends. The Markdown must include:

Top-Level Heading: At least 1 heading at level 1, e.g., # Introduction
Subheadings: At least 1 heading at level 2, e.g., ## Methodology
Bold Text: At least 1 instance of bold text, e.g., **important**
Italic Text: At least 1 instance of italic text, e.g., *note*
Inline Code: At least 1 instance of inline code, e.g., sample_code
Code Block: At least 1 instance of a fenced code block, e.g.

print(""Hello World"")
Bulleted List: At least 1 instance of a bulleted list, e.g., - Item
Numbered List: At least 1 instance of a numbered list, e.g., 1. Step One
Table: At least 1 instance of a table, e.g., | Column A | Column B |
Hyperlink: At least 1 instance of a hyperlink, e.g., [Text](https://example.com)
Image: At least 1 instance of an image, e.g., ![Alt Text](https://example.com/image.jpg)
Blockquote: At least 1 instance of a blockquote, e.g., > This is a quote
Enter your Markdown here:","<!--Imaginary Analysis-->
# IMAGINARY ANALYSIS
## INTRODUCTION:
`The analysis is about the number of steps I walked each day for a week  and a comparison with my friends`
## Steps summary :
*The following table will show the steps summary:*
| Days        | My Steps |   Tom   |  Jerry  |
|-------------|----------|---------|---------|
|**Sunday**   | 9,500    | 9,900   | 9,000   |
|**Monday**   | 8,500    | 9,200   | 7,000   |
|**Tuesday**  | 7,900    | 8,500   | 7,500   |
|**Wednesday**| 9,100    | 9,800   | 8,300   |
|**Thursday** | 6,500    | 7,200   | 6,000   |
|**Friday**   | 10,200   | 10,500  | 9,800   |
|**Saturday** | 12,000   | 11,400  | 10,500  |

`Steps Calculation:`
1. My overall steps      : 63,700
    * Average steps      : 9100
1. Tom's overall steps   : 66,500 
    * Average steps      : 9500
1. Jerry's overall steps : 51,900
    * Average steps      : 8300

```Python
print(""A total of 1,89,100 steps are walked by me and my friends"")
```
[You can also check the benefits of walking by clicking here](https://www.healthline.com/health/exercise-fitness/benefits-of-walking#benefits-of-walking )

![Walking benefits](https://i.pinimg.com/736x/05/45/87/054587e449c267913a8479b29719645c.jpg)

> ***""Every step counts—toward health, toward goals, toward a better you""***"
"Publish a page using GitHub Pages that showcases your work. Ensure that your email address 24ds3000028@ds.study.iitm.ac.in is in the page's HTML.

GitHub pages are served via CloudFlare which obfuscates emails. So, wrap your email address inside a:

<!--email_off-->24ds3000028@ds.study.iitm.ac.in<!--/email_off-->
What is the GitHub Pages URL? It might look like: https://[USER].github.io/[REPO]/",https://amala-natarajan.github.io/Portfolio/index.html
What is the result? (It should be a 5-character string),0fdce
"Download this image. Create a new Google Colab notebook and run this code (after fixing a mistake in it) to calculate the number of pixels with a certain minimum brightness:

import numpy as np
from PIL import Image
from google.colab import files
import colorsys

# There is a mistake in the line below. Fix it
image = Image.open(list(files.upload().keys)[0])

rgb = np.array(image) / 255.0
lightness = np.apply_along_axis(lambda x: colorsys.rgb_to_hls(*x)[1], 2, rgb)
light_pixels = np.sum(lightness > 0.052)
print(f'Number of pixels with lightness > 0.052: {light_pixels}')
What is the result? (It should be a number)",262144
What is the Vercel URL? It should look like: https://your-app.vercel.app/api,https://api.vercel.com/api
"Create a GitHub action on one of your GitHub repositories. Make sure one of the steps in the action has a name that contains your email address 24ds3000028@ds.study.iitm.ac.in. For example:


jobs:
  test:
    steps:
      - name: 24ds3000028@ds.study.iitm.ac.in
        run: echo ""Hello, world!""
      
Trigger the action and make sure it is the most recent action.

What is your repository URL? It will look like: https://github.com/USER/REPO",https://github.com/Amala-Natarajan/Action
"Create and push an image to Docker Hub. Add a tag named 24ds3000028 to the image.

What is the Docker image URL? It should look like: https://hub.docker.com/repository/docker/$USER/$REPO/general",https://hub.docker.com/repository/docker/amala11/image/general
"If the URL has a query parameter class, it should return only students in those classes. For example, /api?class=1A should return only students in class 1A. /api?class=1A&class=1B should return only students in class 1A and 1B. There may be any number of classes specified. Return students in the same order as they appear in the CSV file (not the order of the classes).

Make sure you enable CORS to allow GET requests from any origin.

What is the API URL endpoint for FastAPI? It might look like: http://127.0.0.1:8000/api",http://127.0.0.1:8000/api/
"Download Llamafile. Run the Llama-3.2-1B-Instruct.Q6_K.llamafile model with it.

Create a tunnel to the Llamafile server using ngrok.

What is the ngrok URL? It might look like: https://[random].ngrok-free.app/",https://3553-115-97-237-212.ngrok-free.app/
"Write a Python program that uses httpx to send a POST request to OpenAI's API to analyze the sentiment of this (meaningless) text into GOOD, BAD or NEUTRAL. Specifically:

Make sure you pass an Authorization header with dummy API key.
Use gpt-4o-mini as the model.
The first message must be a system message asking the LLM to analyze the sentiment of the text. Make sure you mention GOOD, BAD, or NEUTRAL as the categories.
The second message must be exactly the text contained above.
This test is crucial for DataSentinel Inc. as it validates both the API integration and the correctness of message formatting in a controlled environment. Once verified, the same mechanism will be used to process genuine customer feedback, ensuring that the sentiment analysis module reliably categorizes data as GOOD, BAD, or NEUTRAL. This reliability is essential for maintaining high operational standards and swift response times in real-world applications.

Note: This uses a dummy httpx library, not the real one. You can only use:

response = httpx.get(url, **kwargs)
response = httpx.post(url, json=None, **kwargs)
response.raise_for_status()
response.json()","
import httpx

def analyze_sentiment():
    # Define the API URL
    url = ""https://api.openai.com/v1/chat/completions""

    # Headers with dummy API key
    headers = {
        ""Authorization"": ""Bearer Amala Natarajan"",  # Dummy API key
        ""Content-Type"": ""application/json""
    }

    # Payload for the POST request
    payload = {
        ""model"": ""gpt-4o-mini"",  # Dummy model
        ""messages"": [
            {""role"": ""system"", ""content"": ""Analyze the sentiment of the following text. Categorize it strictly as GOOD, BAD, or NEUTRAL.""},
            {""role"": ""user"", ""content"": ""xjUewMUheJ 5d cQ2Fqj42UweMGgZttvePW3TvXhXR1t q0QNQ""}
        ]
    }

    try:
        # Send the POST request with the payload and headers
        response = httpx.post(url, json=payload, headers=headers)
        
        # Check if the response was successful
        response.raise_for_status()

        # Parse and print the response JSON
        result = response.json()
        print(result)
    
    except httpx.RequestError as exc:
        print(f""Request error occurred: {exc}"")
    except httpx.HTTPStatusError as exc:
        if exc.response.status_code == 401:
            print(""Authentication error: Invalid API key."")
        else:
            print(f""HTTP error occurred: {exc.response.status_code} - {exc.response.text}"")
    except Exception as exc:
        print(f""An unexpected error occurred: {exc}"")

# Call the function to analyze sentiment
analyze_sentiment()"
how many input tokens does it use up?,508
What is the JSON body we should send to https://api.openai.com/v1/chat/completions for this? (No need to run it or to use an API key. Just write the body of the request below.),"{
  ""model"": ""gpt-4o-mini"",
  ""messages"": [
    {
      ""role"": ""system"",
      ""content"": ""Respond in JSON""
    },
    {
      ""role"": ""user"",
      ""content"": ""Generate 10 random addresses in the US""
    }
  ],
  ""response_format"": {
    ""type"": ""json_schema"",
    ""json_schema"": {
      ""name"": ""address_response"",
      ""strict"": true,
      ""schema"": {
        ""type"": ""object"",
        ""properties"": {
          ""addresses"": {
            ""type"": ""array"",
            ""items"": {
              ""type"": ""object"",
              ""properties"": {
                ""street"": {
                  ""type"": ""string""
                },
                ""city"": {
                  ""type"": ""string""
                },
                ""state"": {
                  ""type"": ""string""
                }
              },
              ""required"": [""street"", ""city"", ""state""],
              ""additionalProperties"": false
            }
          }
        },
        ""required"": [""addresses""],
        ""additionalProperties"": false
      }
    }
  }
}"
"Acme Global Solutions manages hundreds of invoices from vendors every month. To streamline their accounts payable process, the company is developing an automated document processing system. This system uses a computer vision model to extract useful text from scanned invoice images. Critical pieces of data such as vendor email addresses, invoice or transaction numbers, and other details are embedded within these documents.

Your team is tasked with integrating OpenAI's vision model into the invoice processing workflow. The chosen model, gpt-4o-mini, is capable of analyzing both text and image inputs simultaneously. When an invoice is received—for example, an invoice image may contain a vendor email like alice.brown@acmeglobal.com and a transaction number such as 34921. The system needs to extract all embedded text to automatically populate the vendor management system.

The automated process will send a POST request to OpenAI's API with two inputs in a single user message:

Text: A simple instruction ""Extract text from this image.""
Image URL: A base64 URL representing the invoice image that might include the email and the transaction number among other details.
Here is an example invoice image:



Write just the JSON body (not the URL, nor headers) for the POST request that sends these two pieces of content (text and image URL) to the OpenAI API endpoint.

Use gpt-4o-mini as the model.
Send a single user message to the model that has a text and an image_url content (in that order).
The text content should be Extract text from this image.
Send the image_url as a base64 URL of the image above. CAREFUL: Do not modify the image.","{
  ""model"": ""gpt-4o-mini"",
  ""messages"": [
    {
      ""role"": ""user"",
      ""content"": [
        {
          ""type"": ""text"",
          ""text"": ""Extract text from this image.""
        },
        {
          ""type"": ""image_url"",
          ""image_url"": {
            ""url"": ""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAlgAAAAUCAYAAABRY0PiAAAAAXNSR0IArs4c6QAACWZJREFUeF7tXTmoVEsQLVNRMDDRQEPBVAMDcQETwQXBQBMVxMQNxEAxMBAEDUQQNTPQRANBXMBEcMHAxFQwEg00MRAU0/c5f379qTlTfbvudcZ5972aRMbp27f69FKnT1X3WzI3J3OSn0QgEUgEEoFEIBFIBBKBiSGwJAnWxLDMihKBRCARSAQSgUQgEfgXgVYE69cvkV27RF6/HqL35InI7t1lNA8fFvn8WeTZM5Fly/xyWu/atSJ378Z6hm1Zs0bk3TuRVauGz3OZrVvH7ZhUmW/fRDZtEvnyZfD+Q4fG23L1qsj580P7ImVq+D59KrJnzzhmtefsE6jjwAGRN29ENmyI4d+2FNq+fn3zWInUGRlPXj3azzt3ipw7J6L9dfPm0KZTp0SOHJkeBpH2Rcp4tkeeayoTmYPv34ts2SLy4MFoP/LYt/OMf2MbrlwZ9Ac+kfmB/r93b7QWb16jBOw9elTk+fPRdcF7V5v58qdY5/OJQCKwOBAIEyxdgAGLkiV17qXFSX8vLYAKcWRx5+5gR4vvr14NSRbX6b1jUmXUiRw/Puq89bsu6JcuDUmMPrNt25CIMdFpwled3cqV48RS6/7+PUaapk2wSo65yxTrSrBq75o2BrX3z/p3JTce6YdtdiNi53tpDtl1wmsbz1e8vzY/mCQ3YaZzAGV449Vmns26X/L9iUAi0F8EwgQLTnLfPpFHj0Z3+CWHZ3eukyZYnsPmXb3nMLkNkyoD53D79uhCjrpPnhz83/LlA+VP1RMdLvb969YNyrCKB3zxscpelLB4dnlDddrkImpvZBolwYqg1K6M9s/v377yyoqPJViROcTW8MahRJy47qhyZ1VdVrZLmzlvnrVDMUsnAolAIjCKQJhglYCDE4cEzyFAXbDwHIcIOSy3d6/Ijx+j5IJDXzWSxk7cs4sX8kmV8RbniDOwhC9KsDxnZMMmcH4PHw4xP3FinKBZbJcuFTlzRuT69aHa1TUUbEM3GvrhfoRCcuuWTzg98mTbhjGwYsVgrGC8oW08tlhN1HHbFCL88GE0dAvbd+wYbCguXBA5e1YE5AMf/Q2hMvwf8KuFVi2BUXtY9eUyTeOdx5aO482bRS5fHrwhYhfKKS549u3bcYKPMjpOFQsbImxLsNqo1bwhagr52U0LQuboJ3x445MEK11gIpAI/C0E/ohglRYru+jeuDHqBL1QozpRDU/woh1ZlL2QIUC0yg/X4xGjtmVKZKHk6G3HssIUCV2gzLVrA4KBD1QvfOx35MgpluyUWD1Qx446QBQ8oldTuBh7Jrv8vaRY1MK+GsZS8vHy5XjuWMnWWg4WP+eFYHWcWlWEQ108cT31jsNhXii4SanzCBZy+7TPvTnWtEECCXnxQuTYsXGCZefD6dPjOVhtQ4S1sdQ0PzhHC2WbiGhJwY3Ms7+1AOd7EoFEYOEi8EcEy3MM7MjYUXgLLOcjRUNb6Ba76FpVYBLkCeSsVk9XguXlYKlaUFJHPAXOC03qDl6TuRGavHPHJ0+Koea/rF49SNa3+WNNwz9CfrsQrI8fy85cCeXPn+O2lohJV4J18eIwCdsb7zXC4KmkjEfb8JRHsLxxUDu4YOvZvt0PUdtQ99evfpI7+sMqjbU8Lu2/0qEX/O7ND7wD6qwqhjUi2bSOWMUwqvYtXDeQLUsEEoFpINCZYOkCtX//qErEDoUdXlNYTvOP7OIXPd3DilGNGEXIU6RMF4KljuHTp9G8LVZDFAd18mhjjSx5eSv6jJIne3IOg4qfUWdZC8vqgFSS653ktKRRQ0sRBQvqlOaw2ZOhnsqlYUKPcKmNXQmWDYd5eYg1gsWKjD1FirG9cWM7QmvJh/ajN6cidtk54hFlJnKeGsdjVMmWPXCiGERz8Urzw1sAm+osEazaPJvGQpt1JgKJwOJDoBPBKpErzwE1OUS7g2VCxMe7I7tMu6CqI5tvIcKS8yg5CtsmKAh67BxDFUqTR5YsMbGkDM94x+y9foscmbfTpSlnrouCBeLKqoyqbTbnz9oOfEqqzawIFudWgVSB6Go/KMHifmxaiko5WDYPskawrDIFAusRLJ6T3hj1FMNSeDyiTLchV5Zseoqr977IPLOEfvG5hGxxIpAITAqB1gSrRK7U+dkdujVSCRJyPTgpvhZmajpyzQqBOmUkXJfeo6f5/naSe5Pz8EgOq0v4ric5S2SJ22RztlThqSlYPLiUbNk7i5oGoJItmwdmid0kFSxbF5LVS3euzYpgeQTEOvlZKVg2pMd9CSXy8WMRHD7Re924jPZtRCnWZ5vyylCmLbnqSrC809A1QjqpBTfrSQQSgcWDQCuC1USuSpB1ycHy6oooFfZdXgI0k5jICahImdo1DVYh4LCgtrW0s7ZKA8pyuM/u3DlvhZWOEpHlpGsP/7Z5QpbocT6VZwfn00RysFQBxbvu3x9YffDgMGfKtmMWBKtEJJWwQs0q5T41LUGTULC4/tomB+WjCpbX7hIWakeNXJXsK21MdMPHKmhknqWCtXgcYLY0EZgmAmGCVUrKrhnHBMtLTNXdtO6KPcJi68E77ek5OFpOQOb36DP2nqlJlSkRG0t+aqfNYF8kNwRlcCM6Ethteb1rCycIoTThCoPS3VtIgtfcNnU4eD+Sh70k96Y8l6bcHW1/yTHbPB0+IYg+ZTy8Mtbxaxu82+hnQbCa+hRXPPBVFjbfsCmcNp8IVjQHq3ZtSWR+8ByvrUmZg1VbnfP3RCARmCYCYYLlHZFWw0rJzepgutyDxe8rXRiof7bHy9FSp6plZvWncjgPhzuUHasNs3JYzipallRp+3Etht5HVbthH3Z492Bx/hvKWTtYNWCcUZ5PknHivBJe7RuUB3HksK4NZfE9WKpgeaRdxx7+RR5ejWDZNsAW70qCSJI7h2gZG+CNxHnkydlb/HmM2PHO751PBAv48njx1oMmkt5mfnCuX+nEYknB0rnH60s0/D3NxTjrTgQSgYWFQJhgLaxm97s1kd2+tlAd0kJ2IJE7x/rd42l9IpAIJAKJQN8QSILVtx77z17dgZd28Bz6m9YfcZ4P8PGJuPlgU9qQCCQCiUAisLgRSILV8/4vhW4j11r0vOn/J12jHbU/V9P3tqb9iUAikAgkAv1CIAlWv/orrU0EEoFEIBFIBBKBHiCQBKsHnZQmJgKJQCKQCCQCiUC/EEiC1a/+SmsTgUQgEUgEEoFEoAcI/APmOnJgW74SuQAAAABJRU5ErkJggg==""
          }
        }
      ]
    }
  ]
}"
"SecurePay, a leading fintech startup, has implemented an innovative feature to detect and prevent fraudulent activities in real time. As part of its security suite, the system analyzes personalized transaction messages by converting them into embeddings. These embeddings are compared against known patterns of legitimate and fraudulent messages to flag unusual activity.

Imagine you are working on the SecurePay team as a junior developer tasked with integrating the text embeddings feature into the fraud detection module. When a user initiates a transaction, the system sends a personalized verification message to the user's registered email address. This message includes the user's email address and a unique transaction code (a randomly generated number). Here are 2 verification messages:

Dear user, please verify your transaction code 9687 sent to 24ds3000028@ds.study.iitm.ac.in
Dear user, please verify your transaction code 46565 sent to 24ds3000028@ds.study.iitm.ac.in
The goal is to capture this message, convert it into a meaningful embedding using OpenAI's text-embedding-3-small model, and subsequently use the embedding in a machine learning model to detect anomalies.

Your task is to write the JSON body for a POST request that will be sent to the OpenAI API endpoint to obtain the text embedding for the 2 given personalized transaction verification messages above. This will be sent to the endpoint https://api.openai.com/v1/embeddings.","{
  ""model"": ""text-embedding-3-small"",
  ""input"": [
    ""Dear user, please verify your transaction code 9687 sent to 24ds3000028@ds.study.iitm.ac.in"",
    ""Dear user, please verify your transaction code 46565 sent to 24ds3000028@ds.study.iitm.ac.in""
  ]
}"
